,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,Class
0,-0.2,-1.2,1.2,1.2,-0.1,0.1,2.5,1.2,1.3,0.6,1.2,2.3,4.7,5.8,4.9,3.2,2.3,4.0,0.8,2.3,1.0,0.1,1.2,-0.2,-0.1,1.1,0.0,-1.3,-0.1,-0.5,-0.6,-0.9,-0.7,0.5,0.3,-0.1,-0.9,0.6,-0.5,0.3,1.0
1,0.4,0.4,-0.3,-0.1,1.5,1.4,1.5,3.8,2.3,1.3,1.5,3.7,3.1,5.0,3.3,3.4,2.2,2.6,2.2,-0.9,-0.4,-1.8,-0.4,0.5,-1.3,0.4,0.1,0.1,-0.8,2.4,0.3,1.3,1.4,0.0,-0.2,0.7,0.0,0.9,-0.8,0.2,0.0
2,-0.7,1.0,1.1,1.5,2.4,3.4,3.1,4.1,5.5,3.6,0.5,1.7,2.4,-1.0,0.6,-0.9,-0.8,0.6,0.4,-0.1,-1.4,2.1,0.6,1.2,-1.6,0.2,0.1,0.6,0.4,-0.1,0.9,0.3,1.1,0.6,0.3,2.2,0.2,-0.1,-1.3,1.0,1.0
3,-0.8,1.6,-0.7,1.2,4.2,5.0,4.5,2.5,5.6,4.7,4.3,1.6,2.5,2.4,1.8,0.3,2.1,0.3,-2.5,2.5,-0.3,-0.7,0.8,0.2,0.3,0.2,1.2,-0.6,-1.4,-0.3,-0.1,0.6,0.1,1.3,-1.9,1.5,0.0,-0.6,0.9,0.4,1.0
4,0.6,0.8,-0.6,1.0,1.8,2.1,2.2,3.6,4.1,3.6,4.3,4.4,3.5,2.5,3.6,0.1,-0.1,0.3,-1.1,0.0,-0.2,-0.5,-1.2,-0.4,-1.3,-0.6,0.3,-0.6,2.2,-0.7,-0.2,1.2,-0.3,-1.6,0.2,-1.0,0.4,-1.8,-1.1,-0.2,1.0
5,-0.2,0.1,2.3,2.4,4.0,6.1,5.4,4.1,3.8,3.9,2.5,1.8,-1.4,0.7,1.1,1.9,-1.0,-0.3,0.4,1.3,-0.2,0.3,-0.6,1.2,-0.2,-2.1,0.1,1.5,-1.2,0.8,0.4,0.3,-0.8,-0.1,-0.4,0.4,0.3,-0.5,-0.2,0.3,0.0
6,-0.3,-0.4,0.3,-0.6,-1.4,-0.6,1.7,4.0,3.0,5.8,6.6,5.7,5.5,2.7,1.3,2.1,1.8,0.2,1.2,0.3,1.4,0.0,0.6,0.3,2.1,-0.6,-0.2,-0.7,0.2,0.7,-0.6,0.0,0.3,0.6,-0.4,-2.0,1.3,-0.7,2.0,1.0,1.0
7,-1.5,2.7,3.0,3.2,4.3,5.0,6.2,5.1,4.0,4.8,2.2,-0.3,1.5,-1.2,-1.4,1.4,0.0,1.0,0.0,-0.2,0.7,0.1,0.6,0.4,0.8,0.0,0.5,-0.7,1.1,0.1,-0.4,-1.2,0.1,1.9,-0.2,-0.3,1.9,1.1,-0.1,0.0,0.0
8,0.3,1.0,-1.0,-2.3,-1.9,0.5,0.1,2.1,2.4,3.7,3.1,5.1,4.1,3.7,3.9,3.9,4.9,2.7,2.2,1.2,-0.1,0.4,0.2,-0.9,-0.8,-1.2,0.3,0.2,-0.9,0.8,0.9,-0.1,1.5,-1.5,-0.2,-0.4,-0.5,-0.4,0.8,1.3,1.0
9,-0.2,-0.4,1.0,0.4,0.5,-1.0,1.0,1.6,1.5,4.9,4.7,4.7,5.4,4.7,2.9,0.7,-0.7,0.4,0.7,0.1,0.9,0.3,0.4,-2.0,-1.1,-0.3,-0.7,-0.7,-0.7,-0.4,2.2,-1.0,0.8,0.1,-0.7,1.1,-0.3,-0.4,-0.3,-1.0,1.0
